Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,44,57,32,36,77,100,48,0.00,1,5,-
1,2,2006,46,59,32,43,88,100,63,0.00,2,10,-
1,3,2006,48,53,44,46,91,100,81,0.00,4,13,21
1,4,2006,42,44,41,38,82,93,76,0.00,5,10,-
1,5,2006,50,59,42,43,79,100,58,0.00,6,12,-
1,6,2006,39,48,28,32,68,93,49,0.00,6,14,22
1,7,2006,32,44,21,22,67,93,43,0.00,2,10,16
1,8,2006,45,57,33,30,60,75,41,0.00,6,12,-
1,9,2006,60,69,50,46,65,82,50,0.00,11,18,25
1,10,2006,48,57,39,41,75,100,51,0.00,5,17,22
1,11,2006,54,69,39,50,82,100,64,0.00,3,13,20
1,12,2006,58,68,48,52,83,100,52,0.00,3,7,-
1,13,2006,61,69,53,57,89,100,68,0.00,7,15,21
1,14,2006,54,66,41,46,80,94,61,0.00,11,20,36
1,15,2006,40,48,33,14,36,48,22,0.00,12,21,33
1,16,2006,40,53,26,25,58,93,34,0.00,2,9,-
1,17,2006,49,66,32,44,78,93,60,0.00,3,16,22
1,18,2006,54,73,35,40,62,94,37,0.00,16,30,41
1,19,2006,46,62,30,28,51,87,30,0.00,4,8,-
1,20,2006,54,66,42,36,53,82,32,0.00,7,13,18
1,21,2006,55,62,48,52,83,94,47,0.00,6,14,20
1,22,2006,46,51,42,34,65,93,50,0.00,9,15,23
1,23,2006,47,53,41,45,93,100,87,0.00,3,10,-
1,24,2006,50,57,44,41,74,94,47,0.00,4,14,18
1,25,2006,45,51,35,27,48,82,34,0.00,11,29,38
1,26,2006,37,46,28,16,42,69,25,0.00,7,17,29
1,27,2006,38,51,26,15,46,74,20,0.00,2,7,-
1,28,2006,45,62,28,23,43,69,27,0.00,4,13,16
1,29,2006,54,66,41,46,71,87,49,0.00,8,18,30
1,30,2006,58,68,48,53,84,100,60,0.00,5,9,-
1,31,2006,48,55,41,42,75,94,47,0.00,5,16,31
2,1,2006,38,51,26,29,69,93,44,0.00,1,9,-
2,2,2006,46,62,30,39,72,93,45,0.00,4,12,20
2,3,2006,61,71,50,55,74,94,46,0.00,10,16,25
2,4,2006,60,69,50,56,85,100,68,0.00,5,20,31
2,5,2006,44,48,37,28,55,75,39,0.00,10,20,29
2,6,2006,42,51,33,22,47,65,30,0.00,7,18,25
2,7,2006,40,51,28,22,45,80,28,0.00,3,14,17
2,8,2006,34,46,23,23,60,86,37,0.00,2,9,-
2,9,2006,34,44,24,22,64,93,36,0.00,2,9,-
2,10,2006,35,51,19,20,52,86,30,0.00,3,13,21
2,11,2006,42,44,39,35,76,93,53,0.00,3,10,-
2,12,2006,36,42,30,29,77,93,57,0.00,10,17,29
2,13,2006,34,44,24,19,55,80,34,0.00,5,13,18
2,14,2006,44,57,30,24,48,69,33,0.00,6,12,16
2,15,2006,49,68,30,29,47,80,24,0.00,5,14,22
2,16,2006,56,71,41,41,60,81,35,0.00,7,15,22
2,17,2006,60,75,46,43,56,88,26,0.00,9,15,24
2,18,2006,38,46,30,28,66,93,42,0.00,4,16,26
2,19,2006,26,35,17,8,45,59,33,0.00,7,13,24
2,20,2006,38,48,28,26,66,93,50,0.00,4,8,-
2,21,2006,46,59,33,33,63,87,36,0.00,5,13,20
2,22,2006,43,51,35,42,90,93,87,0.00,1,8,-
2,23,2006,50,57,41,40,80,93,54,0.00,1,10,-
2,24,2006,44,59,30,21,43,75,14,0.00,4,16,25
2,25,2006,46,64,28,32,61,86,32,0.00,4,20,26
2,26,2006,38,51,26,11,34,71,25,0.00,12,21,31
2,27,2006,34,50,17,13,45,79,22,0.00,4,24,30
2,28,2006,46,57,35,29,56,81,41,0.00,4,10,-
3,1,2006,46,60,33,32,61,87,36,0.00,3,9,-
3,2,2006,58,80,37,46,62,93,39,0.00,5,20,30
3,3,2006,44,53,35,24,45,76,28,0.00,8,17,24
3,4,2006,40,55,26,18,41,64,24,0.00,6,14,23
3,5,2006,42,57,28,21,45,70,25,0.00,3,14,18
3,6,2006,42,46,37,33,73,93,46,0.00,2,9,-
3,7,2006,40,53,28,26,60,100,24,0.00,5,14,21
3,8,2006,42,60,23,25,54,93,25,0.00,2,9,-
3,9,2006,60,73,46,42,51,68,38,0.00,11,21,29
3,10,2006,71,78,64,57,62,73,47,0.00,14,24,40
3,11,2006,64,80,48,50,62,100,34,0.00,4,10,17
3,12,2006,70,84,57,59,68,94,48,0.00,6,16,23
3,13,2006,75,86,64,61,64,88,42,0.00,11,21,30
3,14,2006,60,73,48,41,47,78,16,0.00,14,26,38
3,15,2006,48,60,35,21,33,70,20,0.00,11,28,41
3,16,2006,49,66,32,28,52,81,19,0.00,2,12,17
3,17,2006,48,60,37,35,65,93,34,0.00,3,17,22
3,18,2006,42,55,28,17,41,87,17,0.00,4,15,24
3,19,2006,42,57,26,18,39,74,21,0.00,4,13,21
