Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,42,53,30,31,71,93,38,0.00,1,8,-
1,2,2006,36,44,28,35,90,93,86,0.66,1,10,20
1,3,2006,48,53,42,41,83,93,72,0.01,3,9,-
1,4,2006,42,50,35,39,82,93,76,0.00,2,8,-
1,5,2006,46,57,35,36,71,93,44,0.00,2,10,-
1,6,2006,37,46,28,27,59,87,37,0.00,3,15,18
1,7,2006,30,44,17,19,64,93,34,0.00,2,10,17
1,8,2006,44,57,32,26,50,75,31,0.00,5,9,-
1,9,2006,58,69,48,42,56,82,40,0.00,8,17,25
1,10,2006,50,59,42,40,67,93,45,0.00,3,9,-
1,11,2006,52,59,46,46,83,94,62,0.24,1,9,-
1,12,2006,48,64,33,39,80,93,37,0.00,1,13,16
1,13,2006,52,68,35,49,84,94,64,0.02,2,20,29
1,14,2006,50,64,37,36,66,94,36,0.11,10,24,34
1,15,2006,39,48,30,10,35,69,17,0.00,9,21,28
1,16,2006,37,48,26,21,56,86,23,0.00,1,6,-
1,17,2006,39,48,30,34,77,87,65,0.01,3,10,-
1,18,2006,52,68,35,33,58,88,31,0.34,14,22,37
1,19,2006,44,60,28,23,45,74,25,0.00,5,12,17
1,20,2006,54,66,42,31,45,61,30,0.00,8,13,16
1,21,2006,55,64,46,45,68,88,41,0.00,7,16,26
1,22,2006,42,46,37,27,63,93,39,0.45,4,10,16
1,23,2006,44,51,37,40,89,93,81,0.18,3,10,16
1,24,2006,46,55,37,39,76,93,35,0.00,2,13,21
1,25,2006,45,51,37,20,38,50,31,0.00,13,22,34
1,26,2006,35,46,23,12,40,74,17,0.00,6,15,22
1,27,2006,33,51,15,12,53,86,11,0.00,1,7,-
1,28,2006,47,64,30,20,34,64,19,0.00,5,10,-
1,29,2006,55,64,46,43,64,82,36,0.00,7,21,29
1,30,2006,52,64,41,45,75,94,37,0.00,3,6,-
1,31,2006,44,53,35,35,64,87,33,0.13,8,14,24
2,1,2006,37,51,23,25,65,93,35,0.00,2,9,-
2,2,2006,44,59,28,32,64,93,34,0.03,2,10,16
2,3,2006,54,66,42,47,76,94,43,0.13,5,17,23
2,4,2006,52,64,39,44,88,94,66,0.26,3,20,26
2,5,2006,40,44,35,23,52,70,31,0.00,9,17,31
2,6,2006,38,48,28,18,47,74,24,0.00,7,17,25
2,7,2006,34,50,19,15,49,86,17,0.00,3,12,17
2,8,2006,32,46,19,15,56,86,23,0.00,1,9,-
2,9,2006,33,42,24,12,44,74,19,0.00,4,13,20
2,10,2006,34,50,19,14,45,74,20,0.00,4,17,23
