Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,23,27,19,19,84,92,78,0.00,0,4,-
1,2,2006,26,34,19,22,87,96,67,0.00,1,6,-
1,3,2006,22,33,10,16,88,100,70,0.00,0,4,-
1,4,2006,22,34,10,14,80,95,30,0.03,1,12,17
1,5,2006,28,30,26,27,91,100,72,0.16,1,7,-
1,6,2006,22,30,15,19,83,93,78,0.01,7,12,18
1,7,2006,8,19,-2,4,82,92,52,0.00,2,6,-
1,8,2006,18,28,7,13,84,96,67,0.00,0,5,-
1,9,2006,29,37,21,26,85,96,72,0.06,3,10,16
1,10,2006,26,36,16,21,79,93,57,0.00,4,10,17
1,11,2006,28,45,12,32,90,100,74,0.19,1,6,-
1,12,2006,34,42,27,34,86,100,70,0.12,3,12,18
1,13,2006,35,46,24,27,86,100,56,0.00,1,5,-
1,14,2006,32,44,21,31,91,100,74,0.62,4,23,34
1,15,2006,11,21,1,0,71,86,60,0.00,17,26,44
1,16,2006,6,12,0,-4,68,80,59,0.00,5,14,21
1,17,2006,16,30,1,9,69,87,45,0.02,2,12,17
1,18,2006,38,44,32,33,82,100,57,1.59,8,17,36
1,19,2006,30,34,25,18,61,85,47,0.00,6,16,26
1,20,2006,36,48,24,29,75,88,54,0.00,1,7,-
1,21,2006,37,53,19,24,77,92,52,0.09,8,23,37
1,22,2006,19,28,10,9,70,85,36,0.00,3,8,-
1,23,2006,24,30,18,24,88,100,63,0.13,1,7,-
1,24,2006,28,34,21,24,85,100,61,0.02,1,8,-
1,25,2006,28,33,23,27,91,100,81,0.05,1,10,18
1,26,2006,18,28,5,15,80,93,68,0.00,9,16,23
1,27,2006,13,30,-4,4,71,92,38,0.00,1,5,-
1,28,2006,28,46,10,21,68,88,44,0.00,3,13,18
1,29,2006,34,37,30,29,83,96,65,0.12,3,9,-
1,30,2006,34,37,32,32,93,100,86,0.12,1,7,-
1,31,2006,33,36,30,31,91,100,81,0.12,3,9,-
2,1,2006,29,30,27,25,84,92,76,0.00,4,8,-
2,2,2006,31,39,23,26,81,96,60,0.00,1,6,-
2,3,2006,40,46,33,34,87,100,63,0.76,3,12,20
2,4,2006,37,44,30,31,71,96,53,0.17,4,6,20
2,5,2006,38,45,30,35,88,100,57,0.59,3,15,26
2,6,2006,24,30,19,19,76,93,45,0.13,9,15,25
2,7,2006,18,21,15,9,70,86,50,0.01,5,10,18
2,8,2006,14,18,6,6,70,87,59,0.00,6,13,18
2,9,2006,10,17,3,3,73,88,52,0.00,3,12,21
2,10,2006,4,12,-5,-1,71,85,48,0.00,3,10,-
2,11,2006,6,21,-9,-5,68,84,38,0.00,0,5,-
2,12,2006,10,19,1,1,67,87,44,0.00,3,15,18
2,13,2006,13,26,0,8,67,83,47,0.00,3,9,16
2,14,2006,28,34,24,20,74,88,54,0.02,7,12,18
2,15,2006,42,51,34,25,56,76,38,0.00,5,14,23
2,16,2006,34,41,28,28,76,92,62,0.00,3,9,-
2,17,2006,32,48,14,21,72,93,49,0.30,6,17,44
2,18,2006,5,10,0,-5,65,85,46,0.00,7,20,30
2,19,2006,10,19,1,0,57,67,47,0.00,6,12,22
2,20,2006,21,25,17,9,62,73,50,0.00,7,13,24
2,21,2006,22,28,17,17,75,88,55,0.01,5,12,-
2,22,2006,24,32,15,18,79,100,43,0.02,2,10,-
2,23,2006,29,39,19,23,81,96,60,0.00,1,8,-
2,24,2006,21,30,10,16,75,93,49,0.04,6,23,32
2,25,2006,8,16,1,7,80,88,56,0.17,4,13,20
2,26,2006,6,12,1,-2,65,80,51,0.01,10,16,29
2,27,2006,6,12,0,-10,55,72,32,0.00,9,14,30
2,28,2006,13,18,8,-2,57,79,27,0.01,7,16,30
3,1,2006,13,25,1,0,58,73,38,0.00,7,12,22
3,2,2006,23,30,15,9,55,68,36,0.00,5,12,-
3,3,2006,13,18,8,5,69,85,45,0.01,10,22,30
3,4,2006,22,26,17,13,72,81,60,0.02,5,21,29
3,5,2006,24,28,21,12,62,74,49,0.00,8,17,25
3,6,2006,24,32,14,12,64,88,48,0.00,4,9,-
3,7,2006,22,32,12,13,71,88,48,0.00,2,10,-
3,8,2006,20,35,5,10,63,88,38,0.00,1,5,-
3,9,2006,32,37,27,26,73,87,43,0.11,5,18,31
3,10,2006,44,52,35,37,88,97,70,0.12,4,18,30
3,11,2006,38,48,26,26,61,92,42,0.00,10,24,32
3,12,2006,38,54,23,36,89,100,48,0.12,1,7,16
3,13,2006,37,42,32,37,97,100,87,0.39,2,8,-
3,14,2006,40,48,32,36,82,100,43,0.14,4,14,30
3,15,2006,26,30,21,16,68,86,51,0.02,12,21,32
3,16,2006,22,26,19,14,72,86,55,0.01,6,15,26
3,17,2006,20,23,16,7,61,74,50,0.00,8,14,21
3,18,2006,16,21,12,8,68,86,52,0.00,6,12,17
3,19,2006,20,24,15,11,71,86,48,0.01,5,15,18
3,20,2006,16,21,10,8,66,86,52,0.00,7,17,24
3,21,2006,26,30,21,14,64,74,57,0.00,6,14,20
3,22,2006,30,34,26,20,66,78,56,0.00,4,15,21
3,23,2006,36,43,28,25,67,85,53,0.00,2,12,17
3,24,2006,39,46,32,30,76,92,47,0.00,0,5,-
3,25,2006,39,46,32,30,76,92,51,0.00,1,7,-
3,26,2006,34,41,26,26,75,92,53,0.00,2,13,21
3,27,2006,35,44,26,19,54,81,38,0.00,6,16,23
3,28,2006,36,52,21,19,58,92,24,0.00,2,13,17
3,29,2006,39,57,21,20,55,89,20,0.00,2,10,18
3,30,2006,43,61,25,23,57,88,20,0.00,1,6,-
3,31,2006,48,71,25,29,58,92,19,0.00,3,15,21
4,1,2006,52,64,39,43,79,89,54,0.34,4,15,23
4,2,2006,37,46,28,25,62,81,36,0.00,9,17,23
4,3,2006,40,54,26,21,52,89,20,0.05,3,15,28
4,4,2006,34,41,30,32,90,100,64,1.09,3,14,18
4,5,2006,30,39,21,24,79,96,50,0.00,1,7,-
4,6,2006,36,45,28,29,76,93,56,0.00,3,9,16
4,7,2006,42,48,35,36,82,100,56,0.22,2,13,18
4,8,2006,30,37,24,21,70,85,52,0.01,9,14,23
4,9,2006,34,46,21,22,65,92,39,0.00,3,10,22
4,10,2006,39,57,23,24,62,92,25,0.00,2,9,21
4,11,2006,44,63,26,28,63,92,24,0.00,1,9,-
4,12,2006,50,71,30,34,56,92,30,0.00,4,13,22
4,13,2006,52,61,43,41,62,89,49,0.00,9,15,26
4,14,2006,48,68,30,34,72,100,28,0.00,2,7,-
4,15,2006,52,64,42,44,71,82,51,0.08,5,20,36
4,16,2006,42,46,39,34,71,81,63,0.02,9,17,24
4,17,2006,42,46,37,34,72,86,57,0.00,6,14,21
4,18,2006,51,64,39,37,61,86,38,0.02,7,16,24
4,19,2006,52,69,35,31,47,92,17,0.00,7,22,30
4,20,2006,52,71,34,28,46,79,18,0.00,3,15,22
4,21,2006,49,66,32,32,53,88,29,0.00,2,9,20
4,22,2006,46,54,39,25,47,86,27,0.16,6,12,18
4,23,2006,41,45,37,36,82,96,65,0.48,3,9,18
4,24,2006,44,51,37,39,85,97,71,0.19,4,7,-
4,25,2006,43,51,35,36,79,97,52,0.02,2,14,22
4,26,2006,40,57,25,24,54,85,29,0.06,5,17,29
4,27,2006,40,50,28,25,59,92,29,0.00,4,13,20
4,28,2006,36,51,23,21,57,88,30,0.00,3,13,24
4,29,2006,42,63,21,22,52,92,18,0.00,2,9,16
4,30,2006,49,72,27,26,52,89,14,0.00,1,10,-
5,1,2006,50,69,32,23,39,85,15,0.00,2,9,17
5,2,2006,50,53,46,42,80,100,40,0.37,4,7,-
5,3,2006,52,57,46,49,93,100,81,0.19,0,4,-
5,4,2006,63,77,51,51,81,100,26,0.03,1,6,-
5,5,2006,59,70,48,43,53,89,32,0.00,4,10,-
5,6,2006,54,64,42,41,72,87,35,0.11,3,14,25
5,7,2006,44,55,32,26,55,89,23,0.00,6,12,22
5,8,2006,50,71,28,33,54,92,26,0.00,1,5,-
5,9,2006,55,69,41,36,53,89,25,0.00,1,8,-
5,10,2006,62,73,50,47,58,75,46,0.00,3,8,-
5,11,2006,62,71,55,51,71,88,52,0.00,3,14,26
5,12,2006,60,66,55,49,68,75,61,0.00,6,12,25
5,13,2006,51,54,48,45,81,96,66,0.76,5,8,16
5,14,2006,54,63,46,46,76,97,48,0.13,3,12,18
5,15,2006,56,62,51,47,75,93,60,0.03,2,7,-
5,16,2006,53,55,51,50,90,96,80,0.28,2,7,-
5,17,2006,52,55,50,50,89,97,83,0.21,5,8,-
5,18,2006,58,66,51,53,92,100,60,1.33,1,12,18
5,19,2006,52,55,48,51,93,100,87,1.65,2,9,-
5,20,2006,52,59,46,46,84,93,64,0.75,7,14,21
5,21,2006,50,55,44,42,79,100,52,0.10,3,15,22
5,22,2006,41,46,37,36,77,83,68,0.07,7,12,23
5,23,2006,46,53,39,39,76,93,59,0.04,4,13,20
5,24,2006,53,64,42,40,65,93,35,0.02,3,13,22
5,25,2006,56,78,35,42,66,97,28,0.00,1,13,21
5,26,2006,64,79,50,57,84,97,45,0.03,1,8,-
5,27,2006,61,70,51,59,89,100,61,0.01,2,17,21
5,28,2006,64,82,46,49,78,100,32,0.00,1,6,-
5,29,2006,70,82,59,59,72,93,49,0.00,1,7,-
5,30,2006,68,82,55,59,86,100,52,0.00,1,5,-
5,31,2006,74,88,60,62,85,100,49,0.57,3,28,41
6,1,2006,62,71,55,62,94,100,84,0.03,1,8,-
6,2,2006,65,78,52,53,84,100,31,0.00,1,9,-
6,3,2006,56,59,54,55,93,100,88,0.68,5,10,16
6,4,2006,54,57,52,50,88,97,77,0.30,5,9,-
6,5,2006,60,71,48,50,81,100,38,0.04,1,8,-
6,6,2006,60,80,42,47,77,100,28,0.01,1,10,18
6,7,2006,62,72,53,54,81,97,39,0.19,2,7,16
6,8,2006,58,62,54,53,84,97,72,0.11,3,8,-
6,9,2006,58,63,53,54,91,100,75,0.27,2,7,-
6,10,2006,52,55,48,48,86,96,76,1.03,5,9,17
6,11,2006,50,55,46,48,88,94,80,0.13,2,7,-
6,12,2006,60,66,52,53,81,97,65,0.00,3,12,18
6,13,2006,62,75,50,53,81,100,50,0.00,2,10,18
6,14,2006,64,73,55,55,81,100,46,0.03,1,7,-
6,15,2006,62,75,50,48,70,96,34,0.00,3,18,26
6,16,2006,64,82,46,51,64,97,30,0.00,2,9,18
6,17,2006,62,75,50,57,77,93,58,0.00,1,7,-
6,18,2006,74,93,57,60,77,100,27,0.00,1,12,17
6,19,2006,74,87,62,63,83,96,41,0.19,3,26,39
6,20,2006,68,79,57,60,84,100,54,0.30,3,16,25
6,21,2006,62,75,48,50,75,97,34,0.00,1,7,-
6,22,2006,67,81,54,60,77,97,56,0.00,1,9,18
6,23,2006,68,75,59,62,81,97,59,0.02,4,14,21
6,24,2006,68,79,55,54,72,94,40,0.00,1,9,-
6,25,2006,66,82,50,54,66,96,38,0.00,1,7,-
6,26,2006,66,69,62,63,94,100,78,2.36,2,6,-
6,27,2006,74,84,66,64,73,96,50,0.02,5,15,25
6,28,2006,70,75,64,63,82,94,68,0.27,5,13,23
6,29,2006,72,82,62,62,90,100,48,0.48,2,13,25
6,30,2006,64,70,57,59,87,100,51,0.24,2,16,-
7,1,2006,64,78,51,56,78,97,48,0.13,3,20,33
7,2,2006,72,84,60,61,81,100,41,0.55,4,14,25
7,3,2006,67,81,54,56,66,93,43,0.00,5,14,21
7,4,2006,72,82,63,64,87,100,49,1.59,2,8,21
7,5,2006,68,77,60,59,81,100,46,0.01,2,12,17
7,6,2006,63,73,55,53,69,93,47,0.00,2,12,20
7,7,2006,68,78,57,56,68,93,43,0.00,2,9,-
7,8,2006,66,82,51,56,76,100,45,0.00,1,6,-
7,9,2006,70,82,57,59,72,93,40,0.00,1,7,-
7,10,2006,70,84,59,60,77,100,41,0.00,1,8,-
7,11,2006,70,80,60,61,78,100,50,0.00,1,8,-
7,12,2006,68,77,60,63,90,100,64,1.22,0,6,-
7,13,2006,73,84,64,64,82,97,50,0.13,3,8,-
7,14,2006,75,89,62,64,79,100,42,0.01,1,8,-
7,15,2006,74,84,64,65,81,100,51,0.00,1,10,17
7,16,2006,77,88,66,65,75,94,41,0.00,1,6,-
7,17,2006,78,90,66,68,72,90,50,0.00,2,9,-
7,18,2006,72,82,62,65,76,93,56,0.01,3,13,20
7,19,2006,70,82,57,57,77,100,34,0.01,0,6,-
7,20,2006,70,84,57,58,63,97,35,0.00,4,10,18
7,21,2006,72,82,64,65,80,94,56,0.14,3,10,-
7,22,2006,68,79,59,62,91,100,60,0.65,2,12,22
7,23,2006,64,72,54,57,85,100,55,0.02,4,10,-
7,24,2006,65,80,51,54,84,100,38,0.01,0,9,-
7,25,2006,71,82,60,63,83,97,56,0.32,3,12,23
7,26,2006,74,84,64,65,83,100,53,0.01,1,7,-
7,27,2006,73,84,62,66,83,100,56,0.00,1,12,18
7,28,2006,75,79,71,69,85,100,69,0.26,1,5,-
7,29,2006,74,84,64,66,76,94,52,0.00,2,10,17
7,30,2006,65,75,53,53,65,93,37,0.01,5,12,-
7,31,2006,65,82,48,56,81,100,54,0.01,0,4,-
8,1,2006,80,91,69,70,82,100,55,0.28,2,10,22
8,2,2006,80,90,71,72,86,100,58,1.33,3,21,30
8,3,2006,72,78,66,66,87,94,64,0.10,2,13,17
8,4,2006,74,84,64,63,80,100,41,0.02,1,9,17
8,5,2006,63,73,52,52,66,93,39,0.00,3,9,17
8,6,2006,64,79,48,51,80,100,36,0.00,1,8,-
8,7,2006,73,84,62,64,71,93,53,0.05,5,12,23
8,8,2006,64,75,53,56,75,96,45,0.00,3,12,20
8,9,2006,62,77,48,50,78,100,37,0.00,1,7,-
8,10,2006,62,73,51,55,87,100,55,0.12,1,7,-
8,11,2006,57,68,48,49,87,100,42,0.05,1,12,20
8,12,2006,56,66,45,46,80,100,42,0.00,1,14,22
8,13,2006,58,71,46,47,70,93,40,0.00,3,10,25
8,14,2006,62,78,46,50,70,93,38,0.00,1,10,-
8,15,2006,70,78,62,56,66,94,42,0.07,2,8,16
8,16,2006,66,77,55,56,73,93,48,0.00,2,8,-
8,17,2006,65,80,51,53,81,100,39,0.00,0,7,-
8,18,2006,68,82,53,57,74,94,42,0.00,2,9,-
8,19,2006,70,80,60,63,85,100,58,0.03,1,7,-
8,20,2006,63,66,60,63,93,100,82,2.05,1,8,17
8,21,2006,60,68,55,57,88,100,76,0.00,2,9,-
8,22,2006,64,75,54,56,83,100,50,0.01,1,6,-
8,23,2006,59,70,50,50,80,100,43,0.00,1,10,20
8,24,2006,56,68,46,47,84,100,47,0.00,0,5,-
8,25,2006,57,73,42,45,80,100,32,0.00,1,7,-
8,26,2006,58,73,44,48,81,93,49,0.00,1,6,-
8,27,2006,56,60,52,52,85,94,67,0.33,4,14,24
8,28,2006,62,72,53,57,88,100,68,0.07,1,5,-
8,29,2006,63,73,53,58,90,100,55,0.00,1,5,-
8,30,2006,55,66,45,49,78,100,48,0.01,3,12,20
8,31,2006,54,68,41,46,83,100,52,0.01,1,10,18
9,1,2006,59,73,45,49,82,100,42,0.00,1,6,-
9,2,2006,58,68,50,47,69,93,45,0.00,2,7,-
9,3,2006,57,63,51,54,88,96,66,0.40,2,5,-
9,4,2006,62,66,59,57,89,96,67,0.06,0,7,-
9,5,2006,65,72,59,57,82,96,53,0.01,0,7,-
9,6,2006,64,72,55,57,85,100,57,0.00,1,14,21
9,7,2006,62,73,51,52,86,100,44,0.00,0,9,-
9,8,2006,64,78,51,53,81,100,39,0.01,1,8,-
9,9,2006,63,75,51,54,87,97,55,0.18,3,12,21
9,10,2006,50,63,39,42,81,100,39,0.00,1,8,18
9,11,2006,48,64,33,37,81,100,34,0.00,0,5,-
