Month,Day,Year,Mean Temperature,Max Temperature,Min Temperature,Dew Point,Average Humidity,Maximum Humidity,Minimum Humidity,Precipitation,Wind Speed,Max Wind Speed,Max Gust Speed
1,1,2006,32,39,26,30,92,100,62,0.05,2,9,-
1,2,2006,32,37,28,28,81,88,73,0.00,3,6,-
1,3,2006,36,46,25,30,82,100,52,0.05,7,10,20
1,4,2006,33,42,23,22,68,85,44,0.00,3,9,-
1,5,2006,28,39,18,17,65,85,39,0.00,4,7,-
1,6,2006,29,39,19,19,71,85,43,0.00,4,6,-
1,7,2006,28,39,16,18,74,88,47,0.00,3,8,-
1,8,2006,30,43,18,12,56,85,22,0.00,5,14,-
1,9,2006,22,34,10,9,61,84,34,0.00,4,8,-
1,10,2006,24,35,12,10,61,77,35,0.00,3,6,-
1,11,2006,27,37,17,14,59,77,35,0.00,3,7,-
1,12,2006,28,39,16,20,79,100,32,0.02,5,9,-
1,13,2006,26,37,14,10,58,77,33,0.00,4,8,-
1,14,2006,24,33,14,13,67,80,46,0.00,4,8,-
1,15,2006,29,37,12,22,79,93,59,0.07,5,18,-
1,16,2006,20,33,6,8,66,92,35,0.00,5,8,-
1,17,2006,23,34,12,10,61,77,37,0.00,4,7,-
1,18,2006,28,39,17,19,69,86,36,0.00,5,8,-
1,19,2006,26,37,15,24,86,96,46,0.10,2,14,-
1,20,2006,18,28,8,9,73,84,53,0.00,4,7,-
1,21,2006,19,30,8,12,68,80,47,0.00,3,6,-
1,22,2006,21,30,12,12,71,84,49,0.00,3,8,-
1,23,2006,18,28,8,9,72,84,43,0.00,3,7,-
1,24,2006,18,30,6,9,72,84,50,0.00,3,6,-
1,25,2006,20,32,8,14,74,91,50,0.05,3,7,-
1,26,2006,26,34,19,23,87,93,72,0.08,2,7,-
1,27,2006,24,30,18,24,91,100,85,0.11,2,6,-
1,28,2006,22,25,19,19,86,100,72,0.06,2,6,-
1,29,2006,24,35,12,18,82,93,54,0.00,3,7,-
1,30,2006,26,34,17,20,75,85,59,0.00,3,7,-
1,31,2006,33,42,24,27,85,96,65,0.03,2,8,-
2,1,2006,34,44,23,24,72,88,47,0.00,2,6,-
2,2,2006,35,44,26,23,71,93,36,0.00,5,15,-
2,3,2006,30,43,16,18,65,81,43,0.00,4,7,-
2,4,2006,30,39,21,21,73,93,54,0.00,3,7,-
